PPID,EFFDT,EXPDT,FEATURECD,QSECT,CONV,PSECTPPID,PSECT,PTWPPPID,PTWP,PRGE,PMER
105836906,20000918,,OQSECPPID,NW,200,104315811,31,103005811,6,9,3
105836904,20000918,,OQSECPPID,SE,300,104315811,31,103005811,6,9,3
105836905,20000918,,OQSECPPID,SW,400,104315811,31,103005811,6,9,3
105836907,20000918,,OQSECPPID,NE,100,104315811,31,103005811,6,9,3
105856364,20000914,,OQSECPPID,SE,300,104365946,36,103005946,6,10,3
105797491,20000908,,OQSECPPID,NE,100,104055538,5,103005538,3,7,3
105797488,20000908,,OQSECPPID,SE,300,104055538,5,103005538,3,7,3
105797490,20000908,,OQSECPPID,NW,200,104055538,5,103005538,3,7,3
105797489,20000908,,OQSECPPID,SW,400,104055538,5,103005538,3,7,3
105797493,20000908,,OQSECPPID,SW,400,104065538,6,103005538,3,7,3
105797494,20000908,,OQSECPPID,NW,200,104065538,6,103005538,3,7,3
105797492,20000908,,OQSECPPID,SE,300,104065538,6,103005538,3,7,3
105797495,20000908,,OQSECPPID,NE,100,104065538,6,103005538,3,7,3
105797248,20000908,,OQSECPPID,SE,300,104175536,17,103005536,1,7,3
105797250,20000908,,OQSECPPID,NW,200,104175536,17,103005536,1,7,3
105797249,20000908,,OQSECPPID,SW,400,104175536,17,103005536,1,7,3
105797251,20000908,,OQSECPPID,NE,100,104175536,17,103005536,1,7,3
105797253,20000908,,OQSECPPID,SW,400,104185536,18,103005536,1,7,3
105797254,20000908,,OQSECPPID,NW,200,104185536,18,103005536,1,7,3
105797252,20000908,,OQSECPPID,SE,300,104185536,18,103005536,1,7,3
105797255,20000908,,OQSECPPID,NE,100,104185536,18,103005536,1,7,3
105797263,20000908,,OQSECPPID,NE,100,104205536,20,103005536,1,7,3
105797262,20000908,,OQSECPPID,NW,200,104205536,20,103005536,1,7,3
105797260,20000908,,OQSECPPID,SE,300,104205536,20,103005536,1,7,3
105797261,20000908,,OQSECPPID,SW,400,104205536,20,103005536,1,7,3
105797259,20000908,,OQSECPPID,NE,100,104195536,19,103005536,1,7,3
105797258,20000908,,OQSECPPID,NW,200,104195536,19,103005536,1,7,3
105797257,20000908,,OQSECPPID,SW,400,104195536,19,103005536,1,7,3
105797256,20000908,,OQSECPPID,SE,300,104195536,19,103005536,1,7,3
105797299,20000908,,OQSECPPID,NE,100,104295536,29,103005536,1,7,3
105797297,20000908,,OQSECPPID,SW,400,104295536,29,103005536,1,7,3
105797296,20000908,,OQSECPPID,SE,300,104295536,29,103005536,1,7,3
105797298,20000908,,OQSECPPID,NW,200,104295536,29,103005536,1,7,3
105797300,20000908,,OQSECPPID,SE,300,104305536,30,103005536,1,7,3
105797303,20000908,,OQSECPPID,NE,100,104305536,30,103005536,1,7,3
105797302,20030321,,OQSECPPID,NW,200,104305536,30,103005536,1,7,3
105797301,20000908,,OQSECPPID,SW,400,104305536,30,103005536,1,7,3
105817068,20000916,,OQSECPPID,SE,300,104045674,4,103005674,4,8,3
105817071,20000916,,OQSECPPID,NE,100,104045674,4,103005674,4,8,3
105817069,20000916,,OQSECPPID,SW,400,104045674,4,103005674,4,8,3
105817070,20000916,,OQSECPPID,NW,200,104045674,4,103005674,4,8,3
105816914,20000916,,OQSECPPID,NW,200,104015673,1,103005673,3,8,3
105816912,20000916,,OQSECPPID,SE,300,104015673,1,103005673,3,8,3
105816913,20000916,,OQSECPPID,SW,400,104015673,1,103005673,3,8,3
105816915,20000916,,OQSECPPID,NE,100,104015673,1,103005673,3,8,3
105816917,20000916,,OQSECPPID,SW,400,104025673,2,103005673,3,8,3
105816919,20000916,,OQSECPPID,NE,100,104025673,2,103005673,3,8,3
105816918,20000916,,OQSECPPID,NW,200,104025673,2,103005673,3,8,3
105816916,20000916,,OQSECPPID,SE,300,104025673,2,103005673,3,8,3
105816923,20000916,,OQSECPPID,NE,100,104035673,3,103005673,3,8,3
105816920,20000916,,OQSECPPID,SE,300,104035673,3,103005673,3,8,3
105816922,20000916,,OQSECPPID,NW,200,104035673,3,103005673,3,8,3
105816921,20000916,,OQSECPPID,SW,400,104035673,3,103005673,3,8,3
105817215,20000916,,OQSECPPID,NE,100,104045675,4,103005675,5,8,3
105817212,20000916,,OQSECPPID,SE,300,104045675,4,103005675,5,8,3
105817213,20000916,,OQSECPPID,SW,400,104045675,4,103005675,5,8,3
105817214,20000916,,OQSECPPID,NW,200,104045675,4,103005675,5,8,3
105817203,20000916,,OQSECPPID,NE,100,104015675,1,103005675,5,8,3
105817202,20000916,,OQSECPPID,NW,200,104015675,1,103005675,5,8,3
105817200,20000916,,OQSECPPID,SE,300,104015675,1,103005675,5,8,3
105817201,20000916,,OQSECPPID,SW,400,104015675,1,103005675,5,8,3
105817206,20000916,,OQSECPPID,NW,200,104025675,2,103005675,5,8,3
105817204,20000916,,OQSECPPID,SE,300,104025675,2,103005675,5,8,3
105817205,20000916,,OQSECPPID,SW,400,104025675,2,103005675,5,8,3
105817207,20000916,,OQSECPPID,NE,100,104025675,2,103005675,5,8,3
105817209,20000916,,OQSECPPID,SW,400,104035675,3,103005675,5,8,3
105817211,20000916,,OQSECPPID,NE,100,104035675,3,103005675,5,8,3
105817208,20000916,,OQSECPPID,SE,300,104035675,3,103005675,5,8,3
105817210,20000916,,OQSECPPID,NW,200,104035675,3,103005675,5,8,3
105817217,20000916,,OQSECPPID,SW,400,104055675,5,103005675,5,8,3
105817218,20000916,,OQSECPPID,NW,200,104055675,5,103005675,5,8,3
105817219,20000916,,OQSECPPID,NE,100,104055675,5,103005675,5,8,3
105817216,20000916,,OQSECPPID,SE,300,104055675,5,103005675,5,8,3
105817246,20000916,,OQSECPPID,NW,200,104125675,12,103005675,5,8,3
105817247,20000916,,OQSECPPID,NE,100,104125675,12,103005675,5,8,3
105817244,20000916,,OQSECPPID,SE,300,104125675,12,103005675,5,8,3
105817245,20000916,,OQSECPPID,SW,400,104125675,12,103005675,5,8,3
105817240,20000916,,OQSECPPID,SE,300,104115675,11,103005675,5,8,3
105817242,20000916,,OQSECPPID,NW,200,104115675,11,103005675,5,8,3
105817241,20000916,,OQSECPPID,SW,400,104115675,11,103005675,5,8,3
105817243,20000916,,OQSECPPID,NE,100,104115675,11,103005675,5,8,3
105817249,20000916,,OQSECPPID,SW,400,104135675,13,103005675,5,8,3
105817250,20000916,,OQSECPPID,NW,200,104135675,13,103005675,5,8,3
105817248,20000916,,OQSECPPID,SE,300,104135675,13,103005675,5,8,3
105817251,20000916,,OQSECPPID,NE,100,104135675,13,103005675,5,8,3
